Word ID,Word,Mean of Valid Ratings,SD of Valid Ratings,No.of Valid Ratings
1,暗笑,2.666667,0.919866,27
2,黯然,4.185185,0.833761,27
3,昂首,2.222222,1.154701,27
4,白人,1.62963,0.883531,27
5,绑架,1.777778,0.891556,27
6,榜样,2.777778,1.250641,27
7,迸发,3.807692,0.980581,26
8,裨益,4.125,0.946963,24
9,波折,3.538462,1.207668,26
10,车费,1.407407,0.572394,27
11,充裕,3.153846,1.120439,26
12,打字,1.444444,0.57735,27
13,歹毒,3.074074,1.268734,27
14,待遇,2.703704,1.170628,27
15,抵抗,2.851852,1.09908,27
16,地方,2.5,1.174734,26
17,垫脚,1.884615,0.90893,26
18,短缺,3.333333,0.960769,27
19,对抗,2.925926,1.035,27
20,发亮,2.0,0.645497,25
21,方言,1.925926,1.035,27
22,防身,2.814815,0.96225,27
23,非法,2.925926,1.206582,27
24,风俗,2.925926,1.035,27
25,隔离,2.962963,1.159625,27
26,耕作,2.037037,0.854017,27
27,公厕,1.222222,0.50637,27
28,公演,2.076923,0.934797,26
29,古物,2.148148,1.09908,27
30,挂号,1.851852,0.948833,27
31,怪物,2.925926,1.174273,27
32,光临,2.888889,1.012739,27
33,过渡,3.576923,1.101747,26
34,憾事,3.56,1.044031,25
35,行情,3.192308,1.020558,26
36,痕迹,2.518519,1.155934,27
37,欢迎,2.555556,1.050031,27
38,回答,2.37037,1.114525,27
39,毁灭,3.111111,1.086042,27
40,肌肤,1.5,0.648074,26
41,缉私,3.0,0.979796,26
42,建制,3.791667,1.062367,24
43,鉴定,3.038462,1.21592,26
44,介入,3.076923,1.092633,26
45,晶莹,3.346154,1.198075,26
46,精品,2.814815,1.272098,27
47,竞技,2.444444,1.012739,27
48,可爱,3.0,1.131371,26
49,哭泣,1.925926,0.828619,27
50,夸大,3.185185,1.241495,27
51,朗读,1.62963,0.791695,27
52,犁田,1.576923,0.643309,26
53,炼丹,2.461538,1.139501,26
54,笼统,4.423077,0.702742,26
55,螺丝,1.222222,0.423659,27
56,落后,3.423077,1.137474,26
57,面前,2.884615,1.142871,26
58,描绘,2.962963,1.159625,27
59,瞄准,2.148148,0.907393,27
60,灭口,2.407407,1.217161,27
61,民事,2.884615,1.142871,26
62,飘浮,3.407407,1.047314,27
63,苹果,1.259259,0.655896,27
64,潜艇,1.296296,0.541708,27
65,庆祝,2.807692,0.895287,26
66,求雨,3.0,0.957427,25
67,取景,2.769231,1.069867,26
68,人证,1.884615,0.588348,26
69,桑拿,1.62963,0.791695,27
70,扇贝,1.185185,0.483341,27
71,摄影,2.0,0.877058,27
72,身家,3.296296,1.203035,27
73,师资,2.962963,1.055443,27
74,施展,3.5,1.067708,26
75,石油,1.333333,0.5547,27
76,弑父,2.703704,1.137298,27
77,受训,2.962963,1.055443,27
78,属性,4.259259,0.764229,27
79,署长,2.041667,1.267629,24
80,水池,1.222222,0.50637,27
81,水质,2.923077,1.092633,26
82,丝绸,1.37037,0.687702,27
